concelho,total,population,active_cases,recovered
VILA NOVA DE GAIA,24938,7461,53,24885
VILA NOVA DE PAIVA,446,8910,172,274
VILA NOVA DE POIARES,757,131676,1851,-1094
VILA POUCA DE AGUIAR,1186,6503,110,1076
VILA REAL,3920,300472,2380,1540
VILA REAL DE SANTO ANTÓNIO,732,4687,122,610
VILA VELHA DE RÓDÃO,86,6939,218,-132
VILA VERDE,4703,11961,104,4599
VILA VIÇOSA,438,49962,548,-110
VIMIOSO,567,18749,203,364
VINHAIS,366,3144,15,351
VISEU,7039,46911,719,6320
VIZELA,2902,7656,144,2758
VOUZELA,719,4023,40,679
ÁGUEDA,3667,7746,87,3580
ÉVORA,3918,97249,1601,2317
ÍLHAVO,2735,23897,215,2520
ÓBIDOS,538,9619,301,237
